"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"ARHGAP29","ARHGAP29","ENSG00000137962.12","Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]","ARHGAP29",0.128936464186921,0.0036304855730361,0.0400214197618931
"FKBP4","FKBP4","ENSG00000004478.7","FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]","FKBP4",0.125450866485425,0.000784231833571407,0.0231044483047185
"CPSF4","CPSF4","ENSG00000160917.14","cleavage and polyadenylation specific factor 4 [Source:HGNC Symbol;Acc:HGNC:2327]","CPSF4",0.124529177861034,0.00259007980660066,0.0349146825053385
"NAPA","NAPA","ENSG00000105402.7","NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]","NAPA",0.124132505639496,0.00378760042772057,0.0407863675486422
"ANKRD17","ANKRD17","ENSG00000132466.18","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]","ANKRD17",0.122561175879218,0.00305313360268063,0.0370126567053209
"PRPF40B","PRPF40B","ENSG00000110844.13","pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]","PRPF40B",0.11933730981626,0.00377544484474676,0.0407109359520851
"TRMT10C","TRMT10C","ENSG00000174173.6","tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:HGNC Symbol;Acc:HGNC:26022]","TRMT10C",0.118786786757225,0.00118886983252306,0.027002376885811
"USP36","USP36","ENSG00000055483.19","ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]","USP36",0.115912543458395,0.000771971249106986,0.0230866676068188
"KAT7","KAT7","ENSG00000136504.11","lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:17016]","KAT7",0.112107809573478,0.00148066776160149,0.0287547862105606
"CANX","CANX","ENSG00000127022.14","calnexin [Source:HGNC Symbol;Acc:HGNC:1473]","CANX",0.111881873884123,0.00284958076417982,0.0361726016588108
"VCPIP1","VCPIP1","ENSG00000175073.7","valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]","VCPIP1",0.111243446710932,0.00206179052086412,0.0319851296632936
"NUP54","NUP54","ENSG00000138750.14","nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]","NUP54",0.107417849465303,0.00481985299423006,0.0451654648046123
"CEP170","CEP170","ENSG00000276725.4","centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]","CEP170",0.10564647083407,0.00191924647526723,0.0308955685142815
"YARS2","YARS2","ENSG00000139131.12","tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]","YARS2",0.105419812823764,0.00538532054213657,0.0474963242757164
"PTPN23","PTPN23","ENSG00000076201.14","protein tyrosine phosphatase, non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406]","PTPN23",0.104993874956356,0.00498774709577775,0.0457929774511056
"BBX","BBX","ENSG00000114439.18","BBX, HMG-box containing [Source:HGNC Symbol;Acc:HGNC:14422]","BBX",0.102154915144644,0.00589943899489349,0.0496583235523303
"GALNT7","GALNT7","ENSG00000109586.11","polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]","GALNT7",0.0994498964477021,0.00366161079285776,0.0402305741577182
"RAB3GAP1","RAB3GAP1","ENSG00000115839.17","RAB3 GTPase activating protein catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:17063]","RAB3GAP1",0.0994073381186399,0.00204006240316111,0.0319643041811745
"RPS6","RPS6","ENSG00000137154.12","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]","RPS6",0.0968995146400013,0.00162612275298319,0.0298384540651504
"CWC22","CWC22","ENSG00000163510.13","CWC22 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:29322]","CWC22",0.094461228901408,0.00236694683741366,0.0340151778234865
"GART","GART","ENSG00000262473.5","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]","GART",0.0940498550566995,0.00395401210010201,0.0414489544286556
"POLR3A","POLR3A","ENSG00000148606.12","RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]","POLR3A",0.093639165797778,0.0037204323979522,0.0405045422498818
"SUPT3H","SUPT3H","ENSG00000196284.15","SPT3 homolog, SAGA and STAGA complex component [Source:HGNC Symbol;Acc:HGNC:11466]","SUPT3H",0.0907074671144472,0.00114069107686566,0.0269940786573238
"PNPLA8","PNPLA8","ENSG00000135241.16","patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]","PNPLA8",0.090672872745539,0.00409513333014086,0.0419721489695752
"DNAJA2","DNAJA2","ENSG00000069345.11","DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]","DNAJA2",0.0892252831136786,0.00238502353142864,0.0341483492883096
"EAF1","EAF1","ENSG00000144597.13","ELL associated factor 1 [Source:HGNC Symbol;Acc:HGNC:20907]","EAF1",0.0836334732299292,0.00287133285696589,0.0361726016588108
"N4BP1","N4BP1","ENSG00000102921.7","NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]","N4BP1",0.0791343059272113,0.00122530231768829,0.0274318715337046
"DOCK7","DOCK7","ENSG00000116641.17","dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]","DOCK7",0.0782993528762277,0.00114039078054204,0.0269940786573238
"MOV10","MOV10","ENSG00000155363.18","Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]","MOV10",0.076782331886745,0.000334358122375689,0.0160779987182647
"CCT5","CCT5","ENSG00000150753.11","chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]","CCT5",0.07347620313786,0.0017315977765744,0.03006751801439
"NSL1","NSL1","ENSG00000117697.14","NSL1, MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24548]","NSL1",0.0681797714186625,0.00482010338841318,0.0451654648046123
"SRP9","SRP9","ENSG00000143742.12","signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]","SRP9",0.0647290358648729,0.001441621548147,0.0286003150225219
"NSUN4","NSUN4","ENSG00000117481.10","NOP2/Sun RNA methyltransferase family member 4 [Source:HGNC Symbol;Acc:HGNC:31802]","NSUN4",0.0644988010415474,0.00311724367561131,0.0372763153839589
"CCT8","CCT8","ENSG00000156261.12","chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]","CCT8",0.0626177949642517,5.23762600175397e-05,0.00818300145418539
"FAM114A2","FAM114A2","ENSG00000055147.18","family with sequence similarity 114 member A2 [Source:HGNC Symbol;Acc:HGNC:1333]","FAM114A2",0.0567318037609989,0.00352724272265436,0.0393454712201518
"MSH6","MSH6","ENSG00000116062.14","mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]","MSH6",0.056073886177409,0.00539869892618286,0.0475054351720134
"ADSL","ADSL","ENSG00000239900.12","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]","ADSL",-0.0418674597720733,0.00375106196694589,0.0406142380640279
"F11R","F11R","ENSG00000158769.17","F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]","F11R",-0.0674701887268577,0.00325555498948948,0.0380649506463385
"MYH14","MYH14","ENSG00000105357.15","myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]","MYH14",-0.0747951060782447,0.000685411480875768,0.0218946617647102
"SNX33","SNX33","ENSG00000173548.8","sorting nexin 33 [Source:HGNC Symbol;Acc:HGNC:28468]","SNX33",-0.075014097069505,0.00137304383795132,0.0279886836682401
"DYNC1LI2","DYNC1LI2","ENSG00000135720.12","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]","DYNC1LI2",-0.0807197297605682,0.00286871725827514,0.0361726016588108
"NMRAL1","NMRAL1","ENSG00000153406.13","NmrA like redox sensor 1 [Source:HGNC Symbol;Acc:HGNC:24987]","NMRAL1",-0.0848341232968964,0.00420509424102635,0.0423772408505641
"LRPPRC","LRPPRC","ENSG00000138095.18","leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]","LRPPRC",-0.0865085013547587,0.00339880472893027,0.0387734315637176
"DLG1","DLG1","ENSG00000075711.20","discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]","DLG1",-0.087723907516298,8.48161760088766e-05,0.0098586331643259
"IQGAP1","IQGAP1","ENSG00000140575.12","IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]","IQGAP1",-0.0905288107334398,0.00292586265242085,0.0364189266216289
"CAV1","CAV1","ENSG00000105974.11","caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]","CAV1",-0.0914465901618301,0.00163121469908445,0.0298384540651504
"TRAPPC1","TRAPPC1","ENSG00000170043.11","trafficking protein particle complex 1 [Source:HGNC Symbol;Acc:HGNC:19894]","TRAPPC1",-0.0949568064630296,0.0022250140276229,0.032878935009104
"SEPT2","SEPT2","ENSG00000168385.17","septin 2 [Source:HGNC Symbol;Acc:HGNC:7729]","SEPT2",-0.0955811839305137,0.00343941142047391,0.0390399510266386
"ALDH1A2","ALDH1A2","ENSG00000128918.14","aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]","ALDH1A2",-0.0955956047992758,0.00500580255566384,0.0457929774511056
"CRYZL1","CRYZL1","ENSG00000205758.11","crystallin zeta like 1 [Source:HGNC Symbol;Acc:HGNC:2420]","CRYZL1",-0.0961820041861917,0.00523718609397804,0.0469860600304228
"PIK3C3","PIK3C3","ENSG00000078142.12","phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]","PIK3C3",-0.0985485494986887,0.00497016766406046,0.0457929774511056
"GSS","GSS","ENSG00000100983.9","glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]","GSS",-0.102132400024079,0.00261460014143359,0.0349146825053385
"TBC1D25","TBC1D25","ENSG00000068354.15","TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]","TBC1D25",-0.105046106654634,0.000778907620739654,0.0231044483047185
"XYLB","XYLB","ENSG00000093217.9","xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]","XYLB",-0.10562555421223,0.000981006355267856,0.0252834585205844
"ACP6","ACP6","ENSG00000162836.11","acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]","ACP6",-0.105793081906398,0.00129451833706885,0.0276268241842198
"NARS","NARS","ENSG00000134440.11","asparaginyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:7643]","NARS",-0.105990758881004,0.000722699729297003,0.0225779393690257
"LARS","LARS","ENSG00000133706.17","leucyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:6512]","LARS",-0.107117065909246,0.00417500721823882,0.0422525698501404
"POLDIP2","POLDIP2","ENSG00000004142.11","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","POLDIP2",-0.107760960936093,0.00377427959555682,0.0407109359520851
"ENOSF1","ENOSF1","ENSG00000132199.18","enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]","ENOSF1",-0.107858896170423,0.00132122210800039,0.0276268241842198
"KIF2C","KIF2C","ENSG00000142945.12","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]","KIF2C",-0.111043892864136,0.0059171433643212,0.0497111137790062
"LDHB","LDHB","ENSG00000111716.12","lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]","LDHB",-0.114244246178714,0.00223796394672292,0.032878935009104
"HEXB","HEXB","ENSG00000049860.13","hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]","HEXB",-0.11461118552253,0.00283564457450263,0.0361726016588108
"CDKAL1","CDKAL1","ENSG00000145996.11","CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050]","CDKAL1",-0.116486765904393,0.00330313358235671,0.038337691387588
"SCLY","SCLY","ENSG00000132330.16","selenocysteine lyase [Source:HGNC Symbol;Acc:HGNC:18161]","SCLY",-0.116646739493162,0.00108666725053384,0.026266109933393
"WDR1","WDR1","ENSG00000071127.16","WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]","WDR1",-0.116730118848598,0.00310869332722541,0.0372763153839589
"MYCBP2","MYCBP2","ENSG00000005810.17","MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]","MYCBP2",-0.119438445481322,2.05804371972262e-05,0.00550884602279935
"RNMT","RNMT","ENSG00000101654.17","RNA guanine-7 methyltransferase [Source:HGNC Symbol;Acc:HGNC:10075]","RNMT",-0.119571159922816,0.0038857350449248,0.0413270301727126
"NEDD1","NEDD1","ENSG00000139350.11","neural precursor cell expressed, developmentally down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:7723]","NEDD1",-0.119785465576144,0.0034474050010332,0.0390399510266386
"UGP2","UGP2","ENSG00000169764.15","UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]","UGP2",-0.120783019469323,0.00206897831328555,0.0319851296632936
"PHYKPL","PHYKPL","ENSG00000175309.14","5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249]","PHYKPL",-0.120945084613933,0.000756734660165166,0.0230139408293814
"PTGR1","PTGR1","ENSG00000106853.18","prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429]","PTGR1",-0.121079396846615,0.00372755053803441,0.040526216578575
"RNF123","RNF123","ENSG00000164068.15","ring finger protein 123 [Source:HGNC Symbol;Acc:HGNC:21148]","RNF123",-0.121544967629,0.00561641508309143,0.0483172512511398
"PPIL2","PPIL2","ENSG00000100023.18","peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]","PPIL2",-0.122201312602829,0.00404048633985144,0.0418010523955311
"UBE4B","UBE4B","ENSG00000130939.18","ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]","UBE4B",-0.124563334847984,0.00488923821109407,0.0455713901184995
"CAMK4","CAMK4","ENSG00000152495.10","calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]","CAMK4",-0.124767531180671,0.00459309074013321,0.0442388503178604
"PTPN11","PTPN11","ENSG00000179295.17","protein tyrosine phosphatase, non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]","PTPN11",-0.124859682672148,0.00299696513388335,0.0367256006483938
"SGPL1","SGPL1","ENSG00000166224.16","sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:HGNC:10817]","SGPL1",-0.126049366403287,0.00338824447812495,0.0387734315637176
"MTM1","MTM1","ENSG00000171100.14","myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]","MTM1",-0.126621800753248,0.00229814720527165,0.0334522200929413
"NSDHL","NSDHL","ENSG00000147383.10","NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]","NSDHL",-0.127988780251701,0.00207100321533109,0.0319851296632936
"KMT2C","KMT2C","ENSG00000055609.17","lysine methyltransferase 2C [Source:HGNC Symbol;Acc:HGNC:13726]","KMT2C",-0.1285824009139,0.00473328591349394,0.0449122351263579
"AHCY","AHCY","ENSG00000101444.12","adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]","AHCY",-0.128902974420284,0.00169929141374763,0.0299803556568332
"HSPA2","HSPA2","ENSG00000126803.9","heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]","HSPA2",-0.129037515976545,0.00241477769641013,0.0343354153398239
"TPP2","TPP2","ENSG00000134900.11","tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016]","TPP2",-0.130276547214174,0.000449255334043487,0.0167582622574763
"RAB10","RAB10","ENSG00000084733.10","RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]","RAB10",-0.131548746072559,0.000584085379820302,0.0195619103478799
"OSBPL7","OSBPL7","ENSG00000006025.11","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]","OSBPL7",-0.131875384543184,0.00176401576721876,0.0301325007664198
"TRIP4","TRIP4","ENSG00000103671.9","thyroid hormone receptor interactor 4 [Source:HGNC Symbol;Acc:HGNC:12310]","TRIP4",-0.131964941794243,0.00571333125738165,0.048599204635703
"KYAT3","KYAT3","ENSG00000137944.17","kynurenine aminotransferase 3 [Source:HGNC Symbol;Acc:HGNC:33238]","KYAT3",-0.137920349250525,0.00106348607429128,0.0259553463466148
"FAH","FAH","ENSG00000103876.11","fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]","FAH",-0.138480298583184,0.000271661947750491,0.0146069118028563
"ESCO2","ESCO2","ENSG00000171320.14","establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]","ESCO2",-0.138542178940907,0.00188308216790618,0.0307518211882861
"ASPH","ASPH","ENSG00000198363.17","aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]","ASPH",-0.138547848057672,0.00525088094937399,0.0470022231300702
"TMEM19","TMEM19","ENSG00000139291.13","transmembrane protein 19 [Source:HGNC Symbol;Acc:HGNC:25605]","TMEM19",-0.139715242822503,0.00162708541556645,0.0298384540651504
"PKN1","PKN1","ENSG00000123143.12","protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405]","PKN1",-0.140828619199923,0.00423863447099966,0.0424078061503561
"MAPK3","MAPK3","ENSG00000102882.11","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]","MAPK3",-0.140847210051185,0.00249681563248726,0.034762787738602
"PPM1L","PPM1L","ENSG00000163590.13","protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:HGNC Symbol;Acc:HGNC:16381]","PPM1L",-0.141075889897931,0.00157050231971387,0.0295773254259818
"EXOC7","EXOC7","ENSG00000182473.21","exocyst complex component 7 [Source:HGNC Symbol;Acc:HGNC:23214]","EXOC7",-0.141166998798025,0.00324369285987566,0.038009476662942
"SPTLC1","SPTLC1","ENSG00000090054.13","serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]","SPTLC1",-0.143181629114139,0.00172845608269987,0.03006751801439
"PPP6R2","PPP6R2","ENSG00000100239.15","protein phosphatase 6 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]","PPP6R2",-0.143614345750983,0.00234551341862939,0.0338301789431509
"ZNF512","ZNF512","ENSG00000243943.9","zinc finger protein 512 [Source:HGNC Symbol;Acc:HGNC:29380]","ZNF512",-0.144168772672641,0.00596733139868413,0.0497111137790062
"SERPINA3","SERPINA3","ENSG00000196136.17","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]","SERPINA3",-0.14463915182485,0.00393027279389572,0.0414198348839357
"SLC25A20","SLC25A20","ENSG00000178537.9","solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]","SLC25A20",-0.144789201461584,0.00266415379415172,0.0351462554265986
"GLG1","GLG1","ENSG00000090863.11","golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]","GLG1",-0.146743934592206,0.00531962794664443,0.0473108923554488
"DBT","DBT","ENSG00000137992.14","dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]","DBT",-0.147820850527789,0.0034330502876843,0.0390399510266386
"L3MBTL3","L3MBTL3","ENSG00000198945.7","L3MBTL3, histone methyl-lysine binding protein [Source:HGNC Symbol;Acc:HGNC:23035]","L3MBTL3",-0.14915278622916,0.00124570429860839,0.0275311575549633
"WASHC2A","WASHC2A","ENSG00000099290.15","WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416]","WASHC2A",-0.149553227590237,0.00418209206290515,0.0422701479094659
"NIT2","NIT2","ENSG00000114021.11","nitrilase family member 2 [Source:HGNC Symbol;Acc:HGNC:29878]","NIT2",-0.149987760434773,0.00158835339353848,0.0296093047701135
"ECT2","ECT2","ENSG00000114346.13","epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]","ECT2",-0.152073146255023,0.00223289711721973,0.032878935009104
"SCCPDH","SCCPDH","ENSG00000143653.9","saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275]","SCCPDH",-0.153015664537178,0.00157541169083228,0.0295773254259818
"GNPDA1","GNPDA1","ENSG00000113552.15","glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]","GNPDA1",-0.153379682395506,0.00177347922685666,0.0301325007664198
"PC","PC","ENSG00000173599.13","pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]","PC",-0.15477141477474,0.00280023993076419,0.0360362571121237
"GLB1","GLB1","ENSG00000170266.15","galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]","GLB1",-0.15585578550764,0.00349237662152275,0.039239104456744
"MUT","MUT","ENSG00000146085.7","methylmalonyl-CoA mutase [Source:HGNC Symbol;Acc:HGNC:7526]","MUT",-0.156143097373078,0.00520864525662058,0.0469860600304228
"MSH3","MSH3","ENSG00000113318.9","mutS homolog 3 [Source:HGNC Symbol;Acc:HGNC:7326]","MSH3",-0.156686485484522,0.00461684990118082,0.0442388503178604
"ANXA11","ANXA11","ENSG00000122359.17","annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]","ANXA11",-0.156981251286581,0.00174675645988543,0.0301325007664198
"STRBP","STRBP","ENSG00000165209.18","spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16462]","STRBP",-0.15744594768567,6.48973274189418e-05,0.00854914126532193
"SERPINB5","SERPINB5","ENSG00000206075.13","serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]","SERPINB5",-0.157498955602414,0.00277016875220243,0.0358353744965761
"ARSD","ARSD","ENSG00000006756.15","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]","ARSD",-0.157599987110967,0.0025061417240873,0.0348129071831038
"NCOA3","NCOA3","ENSG00000124151.18","nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]","NCOA3",-0.157929867857458,0.00452038428098897,0.0438885368735184
"HTATSF1","HTATSF1","ENSG00000102241.11","HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:HGNC:5276]","HTATSF1",-0.161742412713177,0.00533103367512596,0.0473108923554488
"XRCC5","XRCC5","ENSG00000079246.15","X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]","XRCC5",-0.162438155487939,0.0057449573732679,0.0487211835604179
"PPP1R7","PPP1R7","ENSG00000115685.14","protein phosphatase 1 regulatory subunit 7 [Source:HGNC Symbol;Acc:HGNC:9295]","PPP1R7",-0.162486306982703,0.00178415813551217,0.0301954723352916
"ENO1","ENO1","ENSG00000074800.13","enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]","ENO1",-0.162875397880625,0.00265861341803348,0.0351399338731382
"SPTBN2","SPTBN2","ENSG00000173898.11","spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]","SPTBN2",-0.163758338542936,0.0016205572089337,0.0298384540651504
"HELZ","HELZ","ENSG00000198265.11","helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]","HELZ",-0.163883342536714,0.00441906878167614,0.0434431836447366
"ACADM","ACADM","ENSG00000117054.13","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]","ACADM",-0.164196030994942,0.000862962231788557,0.0241104586110685
"ATP6V1B2","ATP6V1B2","ENSG00000147416.10","ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]","ATP6V1B2",-0.164540466154601,0.00284925048784384,0.0361726016588108
"PGM1","PGM1","ENSG00000079739.15","phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]","PGM1",-0.164857220802181,0.00171113986638382,0.0300065678583095
"TULP3","TULP3","ENSG00000078246.16","tubby like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]","TULP3",-0.16567961123131,0.00545635166648075,0.0477596938780331
"ANAPC16","ANAPC16","ENSG00000166295.8","anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]","ANAPC16",-0.165765274594414,0.00374175984678652,0.0405690944156388
"YEATS2","YEATS2","ENSG00000163872.15","YEATS domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25489]","YEATS2",-0.16596003848384,0.00534851259289283,0.04737618112146
"CLINT1","CLINT1","ENSG00000113282.13","clathrin interactor 1 [Source:HGNC Symbol;Acc:HGNC:23186]","CLINT1",-0.166622547494142,0.00339211426084542,0.0387734315637176
"WDR61","WDR61","ENSG00000140395.8","WD repeat domain 61 [Source:HGNC Symbol;Acc:HGNC:30300]","WDR61",-0.167305220490267,0.00198096949892726,0.0315041909849519
"OXR1","OXR1","ENSG00000164830.18","oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]","OXR1",-0.167800898695926,0.00596280411844907,0.0497111137790062
"LRBA","LRBA","ENSG00000198589.10","LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]","LRBA",-0.168299154553484,0.00499966227580768,0.0457929774511056
"ADK","ADK","ENSG00000156110.13","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]","ADK",-0.168821592927194,0.00308917152594123,0.037164097018325
"EPS8L1","EPS8L1","ENSG00000131037.14","EPS8 like 1 [Source:HGNC Symbol;Acc:HGNC:21295]","EPS8L1",-0.169037745085581,0.0015811353132343,0.0296093047701135
"TOP2B","TOP2B","ENSG00000077097.15","DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]","TOP2B",-0.16931875481957,0.000968346612407634,0.0250951576631911
"SNRPA1","SNRPA1","ENSG00000131876.16","small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]","SNRPA1",-0.169400924566153,0.00451628862423187,0.0438885368735184
"ACSF2","ACSF2","ENSG00000167107.12","acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]","ACSF2",-0.169434409447397,0.00596270706556349,0.0497111137790062
"GINS4","GINS4","ENSG00000147536.11","GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]","GINS4",-0.169451991590151,0.00560271027203366,0.0483172512511398
"GNG12","GNG12","ENSG00000172380.5","G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]","GNG12",-0.170051746091663,0.000660778174572646,0.0214048798845172
"TIMM13","TIMM13","ENSG00000099800.7","translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]","TIMM13",-0.170383057637458,0.00499492753785604,0.0457929774511056
"PLA2G4A","PLA2G4A","ENSG00000116711.9","phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]","PLA2G4A",-0.172452901794645,0.000889819656830431,0.0242469704947913
"KCTD14","KCTD14","ENSG00000151364.16","potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]","KCTD14",-0.172713692928371,0.00264209421703605,0.0349800882603902
"KDM8","KDM8","ENSG00000155666.11","lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840]","KDM8",-0.17312914433034,0.00249813555611411,0.034762787738602
